CS ID,Ve0,Ve0-Vo0,dx0,Vy
LS-THC-G1-2-E1-10-00B-3030-00000320,60,40,14,0.6
LS-THC-G1-2-E1-10-00B-3030-00000321,60,40,15,0.6
LS-THC-G1-2-E1-10-00B-3030-00000322,60,40,16,0.6
LS-THC-G1-2-E1-10-00B-3030-00000323,60,40,17,0.6
LS-THC-G1-2-E1-10-00B-3030-00000324,60,40,18,0.6
LS-THC-G1-2-E1-10-00B-3030-00000325,60,40,19,0.6
LS-THC-G1-2-E1-10-00B-3030-00000326,60,40,20,0.6
LS-THC-G1-2-E1-10-00B-3030-00000327,60,40,21,0.6
LS-THC-G1-2-E1-10-00B-3030-00000328,60,40,22,0.6
LS-THC-G1-2-E1-10-00B-3030-00000329,60,40,23,0.6
LS-THC-G1-2-E1-10-00B-3030-00000330,60,40,24,0.6
LS-THC-G1-2-E1-10-00B-3030-00000331,60,40,25,0.6
LS-THC-G1-2-E1-10-00B-3030-00000332,60,40,26,0.6
LS-THC-G1-2-E1-10-00B-3030-00000333,60,40,27,0.6
LS-THC-G1-2-E1-10-00B-3030-00000334,60,40,28,0.6
LS-THC-G1-2-E1-10-00B-3030-00000335,60,40,29,0.6
LS-THC-G1-2-E1-10-00B-3030-00000336,60,40,30,0.6
LS-THC-G1-2-E1-10-00B-3030-00000337,60,40,31,0.6
LS-THC-G1-2-E1-10-00B-3030-00000338,60,40,32,0.6
LS-THC-G1-2-E1-10-00B-3030-00000339,60,40,33,0.6
LS-THC-G1-2-E1-10-00B-3030-00000340,60,40,34,0.6
LS-THC-G1-2-E1-10-00B-3030-00000341,60,40,35,0.6
LS-THC-G1-2-E1-10-00B-3030-00000342,60,40,36,0.6
LS-THC-G1-2-E1-10-00B-3030-00000343,60,40,37,0.6
LS-THC-G1-2-E1-10-00B-3030-00000344,60,40,38,0.6
LS-THC-G1-2-E1-10-00B-3030-00000345,60,40,39,0.6
LS-THC-G1-2-E1-10-00B-3030-00000346,60,40,40,0.6
LS-THC-G1-2-E1-10-00B-3030-00000347,60,40,41,0.6
LS-THC-G1-2-E1-10-00B-3030-00000348,60,40,42,0.6
LS-THC-G1-2-E1-10-00B-3030-00000349,60,40,43,0.6
LS-THC-G1-2-E1-10-00B-3030-00000350,60,40,44,0.6
LS-THC-G1-2-E1-10-00B-3030-00000351,60,40,45,0.6
LS-THC-G1-2-E1-10-00B-3030-00000352,60,40,46,0.6
LS-THC-G1-2-E1-10-00B-3030-00000353,60,40,47,0.6
LS-THC-G1-2-E1-10-00B-3030-00000354,60,40,48,0.6
LS-THC-G1-2-E1-10-00B-3030-00000355,60,40,49,0.6
LS-THC-G1-2-E1-10-00B-3030-00000356,60,40,50,0.6
LS-THC-G1-2-E1-10-00B-3030-00000357,60,40,51,0.6
LS-THC-G1-2-E1-10-00B-3030-00000358,60,40,52,0.6
LS-THC-G1-2-E1-10-00B-3030-00000359,60,40,53,0.6
LS-THC-G1-2-E1-10-00B-3030-00000360,60,40,54,0.6
LS-THC-G1-2-E1-10-00B-3030-00000361,60,40,55,0.6
LS-THC-G1-2-E1-10-00B-3030-00000362,60,40,56,0.6
LS-THC-G1-2-E1-10-00B-3030-00000363,60,40,57,0.6
